Data Points,V_stop,V_rise
1,186,292
2,553,638
3,300,677
4,73,650
5,256,443
6,532,679
7,224,426
8,203,315
9,406,519
10,137,233
11,172,257
12,114,247
13,104,224
14,389,680
15,221,287
16,182,263
17,218,357
18,193,375
19,275,285
20,184,252
21,172,390
22,196,315
23,201,309
24,225,310
25,230,338
26,101,197.8
27,111,216
28,132,255.4
29,139,295.4
30,166,214.6
31,242.5,461.7
32,250.5,521.4
33,554.6,681.4
34,430,680
35,231.6,432.6
36,120,259.7
37,259.7,677.5
38,280,533.5
39,415.5,679.5
40,206.8,383
41,326,680.5
42,350,680.2
43,331,609.5
44,288.5,683
45,170,486
46,254,430
47,197.5,372.4
48,179,441.2
49,198,361
50,493.5,683
51,396.5,683
52,187,426.3
53,198.5,454.5
54,381.8,560.8
55,225,317
56,178,382.1
57,144,285.5
58,160,349
59,360,680
60,268.7,419
61,364,681
62,232,495
63,256,549
64,422,681
65,410,680
66,137,287
